context,question,answer,no_of_hops
"[['Raoul I of Brienne, Count of Eu', ['Raoul I of Brienne (d. 1344, Paris) was the son of John II of Brienne, Count of Eu and Jeanne, Countess of Guînes.', 'He succeeded his father as Count of Eu in 1302, and his mother as Count of Guînes in 1332.', 'In 1329, he was named Constable of France, and he also held the office of Governor of Languedoc.', 'In 1315, he married Jeanne de Mello (d. 1351), Lady of Lormes and Château-Chinon.', 'They had three children:', 'He was killed in a tournament and was succeeded by his son Raoul.']], ['John II of Brienne, Count of Eu', ['John II of Brienne( died 11 July 1302 in Kortrijk) was the son of John I of Brienne, Count of Eu and Beatrice of Saint- Pol.', 'He succeeded his father as Count of Eu in 1294.', 'He married Jeanne, Countess of Guînes( d. 1331/ 32), the daughter and heir of Baldwin IV, Count of Guînes.', 'They had two children: John was killed at the Battle of the Golden Spurs.']]]","What is the sum of all the digits in the day, month and year of the date of death of Raoul I Of Brienne, Count Of Eu's father?",15,1
"[['Prince Nikolai of Denmark', ['Prince Nikolai of Denmark', '(Nikolai William Alexander Frederik; born 28 August 1999), is a member of the Danish royal family.', 'He is the elder son of Prince Joachim and his first wife, Alexandra, Countess of Frederiksborg.', 'He is currently seventh in the line of succession to the Danish throne.', 'At the time of his birth, he was third, after his uncle and father.']], ['Alexandra, Countess of Frederiksborg', ['Alexandra, Countess of Frederiksborg, (""née"" Alexandra Christina Manley; born 30 June 1964) is the first wife of Prince Joachim of Denmark, the younger son of Margrethe II of Denmark.', 'She was born in Hong Kong and is of mixed Chinese-European ancestry.', 'She was introduced to Prince Joachim in 1994.', 'They married in 1995 and had two sons together, until the marriage was dissolved in 2005.']]]","What is the sum of all the digits in the day, month and year of when Prince Nikolai Of Denmark's mother was born?",29,1
"[['Prince Harald of Denmark', ['Prince Harald of Denmark (""Harald Christian Frederik""; 8 October 1876 – 30 March 1949) was a member of the Danish Royal Family.', 'He was the third son and fourth child of Frederick VIII of Denmark and his wife, Lovisa of Sweden, and thus brother to Christian X of Denmark.', 'The prince served in the Royal Danish Army for most of his life, and reached the rank of Lieutenant General.']], ['Princess Feodora of Denmark', ['Princess Feodora of Denmark (', 'Feodora Louise Caroline-Mathilde Viktoria Alexandra Frederikke Johanne)', '(3 July 1910 – 17 March 1975) was a Danish princess as a daughter of Prince Harald of Denmark and granddaughter of Frederick VIII of Denmark.', 'As the wife of Prince Christian of Schaumburg-Lippe', 'she became a Princess of Schaumburg-Lippe by marriage.']]]","What is the sum of all the digits in the day, month and year of when Princess Feodora Of Denmark's father was born?",31,1
"[['Henry de Bohun, 1st Earl of Hereford', ['Henry de Bohun, 1st Earl of Hereford( 1176 – 1 June 1220) was an Anglo- Norman nobleman.', 'He was Earl of Hereford and Hereditary Constable of England from 1199 to 1220.']], ['Humphrey de Bohun, 2nd Earl of Hereford', ['Humphrey( IV) de Bohun( 1204 – 24 September 1275) was 2nd Earl of Hereford and 1st Earl of Essex, as well as Constable of England.', 'He was the son of Henry de Bohun, 1st Earl of Hereford, and Maud FitzGeoffrey.']]]","What is the sum of all the digits in the day, month and year of when Humphrey De Bohun, 2Nd Earl Of Hereford's father died?",12,1
"[['Pirjo Honkasalo', ['Pirjo Irene Honkasalo (born 22 February 1947) is a Finnish film director who has also worked as a cinematographer, film editor, producer, screenwriter and actress.', 'In 1980 she co-directed ""Flame Top"" with Pekka Lehto, with whom she worked earlier and later as well.', 'The film was chosen for the 1981 Cannes Film Festival.', 'In the 1990s she focused on feature documentaries such as ""The Trilogy of the Sacred and the SatanicMysterionTanjuska and the 7 Devils"" and ""Atman"").', 'Honkasalo returned to fiction with ""Fire-Eater"" (1998) and ""Concrete Night"" (2013), both of which were written by Pirkko Saisio. ""', 'Concrete Night"" won six Jussi Awards in 2014, among them the Jussi for the Best Direction and the Jussi for the Best Film.', 'Its world premiere was at the Toronto International Film Festival in Masters series.', 'Pirjo Honkasalo worked as provincial artist laureate in Central Finland 1974–1975.', 'At that time she drove around the area with one-armed scholar who made research of traditional handcrafts.', 'Honkasalo photographed all the interviewees voluntarily.', 'On that journey she met the main characters of her documentary ""Their Age"".', 'She is the first honorary member of Women in Film & Television Finland.', 'The organisation says that ""Honkasalo has  made touching films of universal topics"" and also spoken out about the gender inequality in film industry.', 'Pirjo Honkasalo and her partner Pirkko Saisio live in Kruununhaka, Helsinki, but they also have apartments in Tavastia, Turku and Madeira.', 'Both of them enjoy travelling and they together have written a travel book ""Exit"" (1987).', ""They've raised Saisio's daughter, actress Elsa Saisio, and are one of the best-known lesbian couples in Finland.""]], ['Fire-Eater (film)', ['Fire-Eater  is a 1998 Finnish film directed and written by Pirjo Honkasalo.', 'It tells a story of two orphaned sisters who end up working in a travelling circus.', 'The film received several international awards, including the Grand Jury prize at the American Film Institute International Film Festival in 1998.']]]",What is the ASCII code of the last letter of the first name of the spouse of the director of film Fire-Eater (Film)?,111,3
"[[""Snake in the Eagle's Shadow"", [""Snake in the Eagle's Shadow  is a 1978 Hong Kong martial arts action comedy film directed by Yuen Woo-ping in his directorial debut, and starring Jackie Chan, Hwang Jang Lee and Yuen Woo-ping's real life father, Yuen Siu Tien."", 'Right after this film, Yuen Woo-ping directed ""Drunken Master"", released in the same year, which also starred Jackie Chan, Hwang Jang Lee and Yuen Siu Tien, and followed a similar plot.']], ['Yuen Woo-ping', ['Yuen Woo-ping (alias:', 'Yuen Wo-ping;', 'born 1945) is a Hong Kong martial arts choreographer and film director, renowned as one of the most successful and influential figures in the world of Hong Kong action cinema.', 'He is one of the inductees on the Avenue of Stars in Hong Kong.', 'Yuen is also a son of Yuen Siu-tien, a renowned martial arts film actor.']]]",What is the ASCII code of the last letter of the first name of the father of the director of film Snake In The Eagle'S Shadow?,110,3
"[['The Invisible Menace', ['The Invisible Menace is a 1938 American mystery film directed by John Farrow and starring Boris Karloff.', 'It was also known as Without Warning.']], ['John Farrow', ['John Villiers Farrow, KGCHS (10 February 190427 January 1963) was an Australian-born American film director, producer and screenwriter.', 'In 1957, he won the Academy Award for Best Writing/Best Screenplay for ""Around the World in Eighty Days"" and in 1942, he was nominated as Best Director for ""Wake Island"".', ""He had seven children by his wife, actress Maureen O'Sullivan, including actress Mia Farrow.""]]]",What is the ASCII code of the last letter of the first name of the spouse of the director of film The Invisible Menace?,110,3
"[['Charles Monck, 1st Viscount Monck', ['Charles Stanley Monck, 1st Viscount Monck, was born in 1754 and died on 9 June 1802.', 'He was the 1st son of Thomas Monck MP, by his wife Judith Mason, daughter of Robert Mason, of Mason Brook', 'He was MP for Gorey from 1790 to 1798.', 'He gained the title of 1st Viscount Monck in 1801 as a reward for voting for the Act of Union (1800).', 'He had already been created Baron Monck, of Ballytrammon in the County of Wexford, in 1797, also in the Peerage of Ireland.']], ['Charles Monck, 3rd Viscount Monck', ['Charles Joseph Kelly Monck, 3rd Viscount Monck (created 1800) and 3rd Baron Monck (1797) of Ballytrammon, County Wexford, in the Peerage of Ireland (12 July 1791 – 24 April 1849), succeeded to his titles on the death of his brother, Henry.', 'He was the son of Charles Monck, 1st Viscount Monck, and Anne Quin.', ""While his brother's earldom became extinct, the viscountcy devolved upon Charles."", 'On 29 November 1817, he married Bridget Willington, the daughter of John Willington of Killoskehan Castle, Barnane, and Bridget Butler, the daughter of Theobald Butler of Knocka Castle, Drom, County Tipperary.', ""Lewis' directory of 1837 lists the principal landowners in the locality at the time:"", '""Lloydsborough is the seat of J. Lloyd, Esq.; part of the demesne is in Killea, though the mansion is in the parish of Templemore; it is a handsome residence in a well-planted demesne.', 'The other principal seats are Woodville Lodge, the residence of D. J. Webb, Esq.; Belleville, of', 'the Hon.', 'C. J. K. Monck; and Eastwood, of T. Bennett, Esq."".', 'Viscount Monck died at Dublin, in the house his father built, currently the site of the Merrion Hotel.', ""He was, however, buried in his wife's parish of Templemore."", 'A street in town was formerly named after him.']]]","What is the ASCII code of the last letter of the first name of Charles Monck, 3Rd Viscount Monck's paternal grandfather?",115,3
"[['Fíachu Fínscothach', ['Fíacha Fínscothach, son of Sétna Airt, was, according to medieval Irish legend and historical tradition, a High King of Ireland.', 'His father became High King after killing the previous incumbent, Rothechtaid mac Main, in single combat at Cruachan in defence of Fíachu.', 'Fíachu went into exile, but returned at the head of a ""black fleet"", and, with the assistance of Muinemón, killed his father and took the throne himself. ""', 'Flowers of wine"" (Old Irish: ""fínwinescothflower-ach"", possessive suffix, although ""scoth"" can also mean ""blade"" and ""voice""), which were pressed into glass vats, were said to exist during his reign.', 'He ruled for twenty years, until he was killed by his former accomplice, Muinemón.', 'The chronology of Geoffrey Keating\'s ""Foras Feasa ar Éirinn"" dates his reign to 975–955 BC, that of the ""Annals of the Four Masters"" to 1353–1333 BC.']], ['Ollom Fotla', ['Ollom Fotla (""the scholar of Fódla"", a poetic term for Ireland; later spelled Ollamh Fodhla), son of Fíachu Fínscothach, was, according to medieval Irish legend and historical tradition, a High King of Ireland.', 'His given name was Eochaid.', 'He took power after killing his predecessor, Faildergdóit, whose father, Muinemón, had killed his father.', 'He ruled for forty years, and died of natural causes at Tara, succeeded by an unbroken sequence of six descendants, beginning with his son Fínnachta, followed by two more sons, Slánoll and Géde Ollgothach.', 'He is said to have instituted the ""Feis Temrach"" or Assembly of Tara.', 'Keating describes the ""Feis Temrach"" as an assembly like a parliament, at which the nobles, scholars and military commanders of Ireland gathered on Samhain every three years to pass and renew laws and approve annals and records.', 'The Assembly was preceded and followed by three days of feasting.', 'He also built a structure at Tara called the ""Múr nOlloman"" or Scholar\'s Rampart.', 'It has been identified without any convincing reason that the Passage Tomb of Ollamh Fodhla is Cairn T in Loughcrew.', ""There's also a large stone with neolithic carvings on it at the site, known as Hags chair or the seat of Ollamh Fodhla."", ""It is believed Cairn T was also where the great 'Law-giver king', first promulgated his legal code.""]]]",What is the binary code of the last letter of the last name of the paternal grandfather of Ollom Fotla in lowercase?,1110100,3
"[['Kerry Earnhardt', ['Kerry Dale Earnhardt (born December 8, 1969) is a former NASCAR driver and the elder son of seven-time Winston Cup Series champion Dale Earnhardt.', 'He is the half-brother of former Cup Series driver Dale Earnhardt Jr. He was employed by Dale Earnhardt, Inc. as a consultant, specializing in driver development, until 2011.', 'His younger son, Jeffrey Earnhardt, began racing for DEI in 2007, and currently competes in the Monster Energy NASCAR Cup Series.', 'Kerry is known for his physical similarity to his father.']], ['Dale Earnhardt', ['Ralph Dale Earnhardt Sr. (April 29, 1951 – February 18, 2001) was an American professional auto racing driver and team owner, best known for his involvement in stock car racing for NASCAR.', 'The third child of racing driver Ralph Earnhardt and Martha Earnhardt, he began his career in 1975 in the World 600 as part of the Winston Cup Series.', 'Regarded as one of the most significant drivers in NASCAR history, Earnhardt won a total of 76 Winston Cup races over the course of his career, including the 1998 Daytona 500.', 'He also earned seven NASCAR Winston Cup championships, tying for the most all-time with Richard Petty.', 'This feat, accomplished in 1994, was not equaled again for 22 years until Jimmie Johnson in 2016.', 'His aggressive driving style earned him the nicknames ""IronheadThe Intimidator"", and ""The Man in Black"".', 'Also, his success at the restrictor plate tracks of Daytona and Talladega earned him the nickname, ""Mr. Restrictor Plate"".', 'In February 2001, Earnhardt died due to injuries sustained in a collision during the final lap of the Daytona 500, an event that was widely lamented in the racing industry.', 'Earnhardt has been inducted into numerous halls of fame, including the NASCAR Hall of Fame inaugural class in 2010.']]]",What is the binary code of the last letter of the last name of the paternal grandfather of Kerry Earnhardt in lowercase?,1110100,3
"[['Alfonso Jordan', ['Alfonso Jordan, also spelled Alfons Jordan or Alphonse Jourdain (1103–1148), was the Count of Tripoli (1105–09), Count of Rouergue (1109–48) and Count of Toulouse, Margrave of Provence and Duke of Narbonne (1112–48).', 'He was the son of Raymond IV of Toulouse by his third wife, Elvira of Castile.', 'He was born in the castle of Mont Pèlerin in Tripoli while his father was on the First Crusade.', 'He was given the name ""Jourdain"" after being baptised in the Jordan River.', ""Alfonso's father died when he was two years old"", 'and he remained under the guardianship of his cousin, William Jordan, Count of Cerdagne, until he was five.', 'He was then taken to Europe, where his half-brother Bertrand had given him the county of Rouergue.', ""Upon Bertrand's death in 1112, Alfonso succeeded to the county of Toulouse and marquisate of Provence."", 'In 1114, Duke William IX of Aquitaine, who claimed Toulouse by right of his wife Philippa, daughter of Count William IV, invaded the county and conquered it.', 'Alfonso recovered a part in 1119, but he was not in full control until 1123.', 'When at last successful, he was excommunicated by Pope Callixtus II for having expelled the monks of Saint-Gilles, who had aided his enemies.', 'Alfonso next had to fight for his rights in Provence against Count Raymond Berengar III of Barcelona.', 'Not until September 1125 did their war end in ""peace and concordpax et concordia"").', 'At this stage, Alfonso was master of the regions lying between the Pyrenees and the Alps, the Auvergne and the sea.', 'His ascendancy was, according to one commentator, an unmixed good to the country, for during a period of fourteen years art and industry flourished.', 'In March 1126, Alfonso was at the court of Alfonso VII of León when he acceded to the throne.', 'According to the ""Chronica Adefonsi imperatoris"", Alfonso and Suero Vermúdez took the city of León from opposition magnates and handed it over to Alfonso VII.', 'Among those who may have accompanied Alfonso on one of his many extended stays in Spain was the troubadour Marcabru.', 'About 1134 Alfonso seized the viscounty of Narbonne and ruled it during the minority of the Viscountess Ermengarde, only restoring it to her in 1143.', 'In 1141 King Louis VII pressed the claim of Philippa on behalf of his wife, Eleanor of Aquitaine, even besieging Toulouse, but without result.', 'That same year Alfonso Jordan was again in Spain, making a pilgrimage to Saint James of Compostela, when he proposed a peace between the king of León and García VI of Navarre, which became the basis for subsequent negotiations.', 'In 1144, Alfonso again incurred the displeasure of the church by siding with the citizens of Montpellier against their lord.', 'In 1145, Bernard of Clairvaux addressed a letter to him full of concern about a heretic named Henry in the diocese of Toulouse.', 'Bernard even went there to preach against the heresy, an early expression of Catharism.', 'A second time he was excommunicated; but in 1146 he took the cross (i.e., vowed to go on crusade) at a meeting in Vézelay called by Louis VII.', 'In August 1147, he embarked for the near east on the Second Crusade.', 'He lingered on the way in Italy and probably in Constantinople, where he may have met the Emperor Manuel I.', 'Alfonso finally arrived at Acre in 1148.', 'Among his companions he had made enemies and he was destined to take no share in the crusade he had joined.', 'He died at Caesarea, and there were accusations of poisoning, usually levelled either against Eleanor of Aquitaine, wife of Louis, or Melisende, the mother of King Baldwin III of Jerusalem, who may have wanted to eliminate him as a rival to her brother-in-law Raymond II.', ""By his wife since 1125, Faydiva d'Uzès, he left two legitimate sons: Raymond, who succeeded him, and Alfonso."", 'His daughter Faydiva (died 1154) married Count Humbert III of Savoy.', 'He left two other daughters: the legitimate Agnes (died 1187) and the illegitimate Laurentia, who married Count Bernard III of Comminges.']], ['Elvira of Castile, Countess of Toulouse', ['Elvira of Castile (before 1082?-1151) was a countess consort of Toulouse.', 'She was the illegitimate daughter of Alfonso VI of León and Castile, by his mistress Jimena Muñoz, and full sister of Theresa, Countess of Portugal.', 'She married, firstly, Raymond IV, Count of Toulouse in 1094, being mother of count Alfonso Jordan.', 'Elvira accompanied Raymond on the First Crusade in 1096, and was present at the siege of Tripoli, where she gave birth to their son.', 'It appears that the couple separated before the death of Raymond.', 'Elvira returned to Castile.', 'Her son became the monarch of Tripoli upon the death of Raymond in 1105, but Elvira is not mentioned as present in Tripoli.', 'In Castile, before 1117, she married Count Fernando Fernández de Carrión, having three additional children: Diego, García and Teresa Fernández, who was a wife of Count Osorio Martínez.']]]",What is the binary code of the last letter of the last name of Alfonso Jordan's maternal grandmother in lowercase?,1111010,3
"[['Berit Aunli', ['Berit Kristine Aunli, née Kvello, (born 9 June 1956 in Stjørdal, Norway) is a Norwegian former cross-country skier.', 'She won her first international championship medal as a member of the Norwegian team that won the bronze medal at the 4 × 5 km relay at the 1980 Winter Olympics.', 'Her real international breakthrough came at the 1982 FIS Nordic World Ski Championships when she won gold medals at the 5 km, 10 km and 4 × 5 km relay races, and a silver medal at the 20 km classical.', 'She became the first winner of an official Cross-Country World Cup after her overall victory in the 1981–82 FIS Cross-Country World Cup.', 'At the 1984 Winter Olympics in Sarajevo, she won two medals with a gold in the 4 × 5 km relay and a silver in 5 km.', 'Aunli also won a silver in the 4 × 5 km relay at the 1985 FIS Nordic World Ski Championships.', 'At the 1981 Holmenkollen ski festival, she won the 20 km event.', 'In 1983, she was awarded the Holmenkollen medal (Shared with Tom Sandberg.).', 'She has 15 Norwegian Championships in total, representing Strindheim IL.', 'In 1985 she won ""Morgenbladet\'s"" gold medal.', 'She is the daughter of Kristen Kvello.']], ['Ove Aunli', ['Ove Robert Aunli (born 12 March 1956 in Hemne) is a Norwegian former cross-country skier.', ""He took the Olympic bronze medal in 1980 Lake Placid when Thomas Wassberg beat Juha Mieto by one-hundredth of a second for the gold medal, and won a silver medal as part of Norway's 4 × 10 km relay team."", 'Aunli found his biggest success at the FIS Nordic World Ski Championships, winning six medals.', 'This included two golds (4 × 10 km: 1982, 1985), one silver (30 km: 1985), and three bronzes (4 × 10 km: 1978, 1987; 50 km: 1985).', 'Aunli represented the clubs Kyrksæterøra IL and Strindheim IL.', 'He is married to Berit Aunli.']]]",What is the binary code of the last letter of the last name of the father-in-law of Ove Aunli in lowercase?,1101111,3
"[['Robert, Count of Burgundy', ['Robert, Count of Burgundy( 1300 – 1315) was the son of Otto IV, Count of Burgundy and Mahaut, Countess of Artois.', 'He was count of Burgundy between 1302 and 1315.', 'He died in 1315, and was succeeded by his sister, Joan II, and brother- in- law, Philip II, later queen and king of France.']], ['Mahaut, Countess of Artois', ['Mahaut of Artois (1268 27 November 1329), also known as Mathilda, ruled as countess of Artois from 1302 to 1329.', 'She was furthermore regent of the County of Burgundy from 1303 to 1315 during the minority of her son, Robert.']]]","What is the date 8 years before when Robert, Count Of Burgundy's mother died?",1321-11-27,1
"[['William, Duke of Jülich-Cleves-Berg', ['William of Jülich- Cleves- Berge( William I of Cleves, William V of Jülich- Berg)( 28 July 1516 – 5 January 1592) was a Duke of Jülich- Cleves- Berg( 1539 – 1592).', 'William was born in and died in Düsseldorf.', 'He was the only son of John III, Duke of Jülich- Cleves- Berg, and Maria, Duchess of Jülich- Berg.', ""William took over rule of his father's estates( the Duchy of Cleves and the County of Mark) upon his death in 1539."", 'Despite his mother having lived until 1543, William also became the Duke of Berg and Jülich and the Count of Ravensberg.', 'From 1538 to 1543, William held the neighbouring Duchy of Guelders, as successor of his distant relatives, the Egmond dukes.', 'Emperor Charles', 'V claimed this duchy for himself as the dukes had sold their right of heritage, and William tried to hold on to it.', ""He made a treaty with the King of France and married Jeanne d'Albret, and with this backup dared to challenge the Emperor."", 'All too soon he learned that the French did not lift a finger to help him, and he was overwhelmed and had to surrender.', 'In accordance with the Treaty of Venlo( 1543) that was the result of this war, Guelders and the County of Zutphen were transferred to Charles V, Holy Roman Emperor, combining them with the Habsburg Netherlands.', 'William then tried to strengthen his inherited territories and launched an impressive development project for the most important cities.', 'The three duchies all got new main fortresses as major strongpoints, for the older medieval fortifications had proved to be no match against the Imperial artillery.', 'The cities of Jülich, Düsseldorf and Orsoy became fortresses for the duchies of Jülich, Berg and Cleves respectively, and Jülich and Düsseldorf were turned into impressive residences.', 'For this task, the renowned Italian architect Alessandro Pasqualini from Bologna was hired, who had already made some impressive display of his craft in the Netherlands.', 'He made the plans for the fortifications and palaces, of which some traces still remain, especially at Jülich where the citadel( built 1548- 1580) is a major landmark, with parts of the Renaissance palace still standing.', ""William's sister Anne of Cleves was, for six months, the fourth wife of King Henry VIII of England."", 'Through his daughter Marie Eleonore, he is ancestor of Marie Louise of Hesse- Kassel, wife of John William Friso, Prince of Orange therefore ancestor of all the current European monarchs.']], ['Maria of Austria, Duchess of Jülich-Cleves-Berg', ['Archduchess Maria of Austria (15 May 1531 – 11 December 1581) was the daughter of Emperor Ferdinand I from the House of Habsburg and Anna Jagiello.', 'She married William, Duke of Jülich-Cleves-Berg on 18 July 1546 as his second wife.', 'Their children were:']]]","What is the date 4 years before Maria Of Austria, Duchess Of Jülich-Cleves-Berg's husband's birthday?",1512-07-28,1
"[['Catherine of Guelders', ['Catherine of Guelders (ca. 1440 – Guelders, January 25, 1497), was regent of the Duchy of Guelders between 1477 and 1492.', 'Catherine of Guelders was the fourth and youngest child of Arnold, Duke of Guelders (1410-1473) and Catherine of Cleves (1417–1479).<br', '>', 'Until 1477, she led an inconspicuous life, in the shadow of her brother Adolf, at war with his father, and her sisters Mary, married to King James II of Scotland and Margaret, married to Frederick I, Count Palatine of Simmern.<br', '>', 'Despite efforts by her father, no suitable husband was found for Catherine.<br>', '17th century theories that she was secretly married with Louis de Bourbon, Bishop of Liège, are now believed to be false.', 'Everything changed for Catherine in 1477, when Charles the Bold was killed in the Battle of Nancy.', 'Guelders had been under control of Charles the Bold since 1473, and now saw the chance to regain its independence.', 'As her brother Adolf was in Flanders, the States of Guelders convinced him to appoint his sister Catherine as regent, pending his return.', 'Catherine reluctantly agreed.', 'But the regency lasted much longer than expected because Adolf was killed in battle on June 27, 1477.', 'She then continued to rule as regent for his son Charles II, who was held with his sister Philippa by the Burgundians.', 'Catherine became involved in the Guelderian War of Independence with Maximilian of Austria.', 'In 1482, she was forced to conclude peace with Maximilian and to retire from politics.', 'In 1492, she witnessed the regained independence of Guelders under her nephew Charles II, Duke of Guelders.<br', '>', 'Catherine died in 1497 and was buried in the church of Geldern, where her grave can still be seen.']], ['Arnold, Duke of Guelders', ['Arnold of Egmond (14 July 1410 – 23 February 1473) was Duke of Guelders, Count of Zutphen.', 'Arnold was born in Egmond-Binnen, North Holland, the son of John II of Egmond and Maria van Arkel.', 'On 11 July 1423, Arnold, still a boy, succeeded Duke Reinald IV.', ""Arnold was the grandson of Reinald's sister, Johanna."", 'Although the Emperor Sigismund had invested the Duke of Berg with the duchy of Gelders, Arnold retained the confidence of the Estates by enlarging their privileges, and enjoyed the support of Duke Philip of Burgundy.', 'Arnold was betrothed, and afterwards united in marriage to Catherine of Cleves, a niece of Philip of Burgundy.', ""Subsequently, however, Duke Arnold fell out with his ally as to the succession to the see of Utrecht, whereupon Philip joined with the four chief towns of Guelders in the successful attempt of Arnold's son Adolf to substitute his own for his father's authority."", 'Arnold gave up his claim on Jűlich only after his defeat in 1444 by Gerhard VII, Duke of Jülich-Berg.', 'When Charles the Bold became Duke of Burgundy in 1467, after rejecting a compromise, Adolph was thrown into prison.', 'Arnold, against the will of the towns and the law of the land, pledged his duchy to Charles for 300,000 Rhenish florins (1471).', ""Upon Arnold's death two years later at Grave, Charles took possession of the duchy, starting a series of wars that would last more than 70 years.""]]]",What is the date 10 years before the date of death of Catherine Of Guelders's father?,1463-02-23,1
"[['Princess Isabelle of Orléans (1900–1983)', [""Princess Isabelle Françoise Hélène Marie d'Orléans (27 November 1900,"", 'Le Nouvion-en-Thiérache, France – 12 February 1983, Neuilly-sur-Seine, France) was a member of the House of Orléans and, by marriage, a member of the ducal Harcourt family and of the princely House of Murat.', 'She was one of the four children of Prince Jean, Duke of Guise (1874–1940), who would became the Orleanist pretender to the French throne in 1926, and his wife Princess Isabelle of Orléans.', 'Although born in France, her parents moved the family to Morocco in 1909, then a French colony.', 'She was with her mother and siblings visiting France when World War I broke out in 1914.', 'While her father sought in vain to obtain permission from the French government to serve in the military, the rest of the family hastened back to Morocco.']], ['Prince Jean, Duke of Guise', ['Prince Jean of Orléans, Duke of Guise( Jean Pierre Clément Marie; 4 September 1874 – 25 August 1940), was the third son and youngest child of Prince Robert, Duke of Chartres( 1840 – 1910), grandson of Prince Ferdinand Philippe and great- grandson of Louis Philippe I, King of the French.', 'His mother was Françoise of Orléans, daughter of François, Prince of Joinville, and Princess Francisca of Brazil.']]]",What is the date 4 years before the date of death of Princess Isabelle Of Orléans's father?,1936-08-25,1
"[['Mervyn Tuchet, 4th Earl of Castlehaven', ['Mervyn Tuchet, 4th Earl of Castlehaven (died 2 November 1686) was the third son of Mervyn Tuchet, 2nd Earl of Castlehaven, and his first wife, Elizabeth Barnham (1592 – c. 1622).', 'He married Mary Talbot (buried 15 March 1710/1), daughter of John Talbot, 10th Earl of Shrewsbury (bef.', '1601–1654) and his wife, née Mary Fortesque.', 'They had at least three children:', 'He succeeded his brother James as Earl of Castlehaven on 11 October 1684.', 'He also held the lower titles 14th Baron Audley and 2nd Baron Audley of Hely.', 'On his death, his titles passed to his son James.']], ['Mervyn Tuchet, 2nd Earl of Castlehaven', ['Mervyn Tuchet (sometimes Mervin Touchet), 2nd Earl of Castlehaven (1593 – 14 May 1631), was an English nobleman who was convicted of rape and sodomy and subsequently executed.', ""A son of George Tuchet, 1st Earl of Castlehaven and 11th Baron Audley, by his wife, Lucy Mervyn, he was known by the courtesy title of Lord Audley during his father's lifetime, so is sometimes referred to as Mervyn Audley."", 'He was knighted by James I in 1608, before he studied law at the Middle Temple.', 'He served as Member of the Parliament of England for Dorset in the Addled Parliament of 1614 and was a Justice of the Peace for the counties of Dorset, Somerset, and Wiltshire.', 'He succeeded his father on 20 February 1616/7 as Earl of Castlehaven and Baron Audley.', 'He left seven children upon his death.', 'Sometime before 1612 (records of the marriage are lacking), Lord Audley married Elizabeth Barnham, a sister-in-law of the philosopher and scientist Francis Bacon, and with her he had six children.', 'By all accounts the marriage was a loving and successful one, ending with her death in 1622.', 'His second marriage, on 22 July 1624, at Harefield, Middlesex, was to the former Lady Anne Stanley (1580–1647), elder daughter and co-heiress of Ferdinando Stanley, 5th Earl of Derby (by his wife, Alice Spencer), and widow of Grey Brydges, 5th Baron Chandos.', 'They had a daughter, Anne Touchet, who died young.', ""Lady Anne was significantly older than Castlehaven, and the marriage was not a success, but in 1628 Lord Castlehaven's son was married to her thirteen-year-old daughter, Elizabeth; a marriage of step-children.""]]]","What is the concatenation of the last letter of the first name and the first letter of the last name of the paternal grandmother of Mervyn Tuchet, 4Th Earl Of Castlehaven in lowercase?",ym,5
"[['Mervyn Tuchet, 4th Earl of Castlehaven', ['Mervyn Tuchet, 4th Earl of Castlehaven (died 2 November 1686) was the third son of Mervyn Tuchet, 2nd Earl of Castlehaven, and his first wife, Elizabeth Barnham (1592 – c. 1622).', 'He married Mary Talbot (buried 15 March 1710/1), daughter of John Talbot, 10th Earl of Shrewsbury (bef.', '1601–1654) and his wife, née Mary Fortesque.', 'They had at least three children:', 'He succeeded his brother James as Earl of Castlehaven on 11 October 1684.', 'He also held the lower titles 14th Baron Audley and 2nd Baron Audley of Hely.', 'On his death, his titles passed to his son James.']], ['James Tuchet, 5th Earl of Castlehaven', ['James Tuchet, 5th Earl of Castlehaven( died 12 August 1700) was the son of Mervyn Tuchet, 4th Earl of Castlehaven and Mary Talbot.', 'He succeeded his father as Earl of Castlehaven on 2 November 1686.', 'He married Anne Pelson, daughter of Richard Pelson and his wife, née Anne Villiers, daughter of Christopher Villiers, 1st Earl of Anglesey.', 'They had one son, James, who succeeded him as Earl of Castlehaven.', 'He died of apoplexy.', 'His gravestone is in the floor of the south aisle of the retrochoir at Winchester Cathedral.']]]","What is the concatenation of the last letter of the first name and the first letter of the last name of James Tuchet, 5Th Earl Of Castlehaven's paternal grandmother in lowercase?",hb,5
"[['Philip of Ibelin (1180–1227)', ['Philip of Ibelin (1180-1227) was a leading nobleman of the Kingdom of Cyprus.', 'As a younger son of Balian of Ibelin and the dowager queen Maria Komnene, he came from the high Crusader nobility of the Kingdom of Jerusalem.']], ['Maria Komnene, Queen of Jerusalem', ['Maria Komnene or Comnena (Greek:', 'Μαρία Κομνηνή, c. 1154 – 1208/1217) was the second wife of King Amalric I of Jerusalem and mother of Queen Isabella I of Jerusalem.', 'She was the daughter of John Doukas Komnenos, sometime Byzantine ""dux"" in Cyprus, and Maria Taronitissa.', 'Her sister Theodora married Prince Bohemund III of Antioch, and her brother Alexios was briefly, in 1185, a pretender to the throne of the Byzantine Empire.']]]",What is the concatenation of the last letter of the first name and the first letter of the last name of Philip Of Ibelin (1180–1227)'s maternal grandmother in lowercase?,at,5
